fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;
6.9;0.75;0.13;6.3;0.036;19;50;0.99312;3.09;0.25;11.1;4;
7.1;0.35;0.27;3.1;0.034;28;134;0.9897;3.26;0.38;13.1;7;
7.2;0.31;0.35;7.2;0.046;45;178;0.9955;3.14;0.53;9.7;5;
6.4;0.28;0.44;7.1;0.048;49;179;0.99528;3.15;0.48;9.2;5;
7.2;0.23;0.46;6.4;0.036;17;85;0.99279;3.1;0.78;11.7;6;
6.6;0.22;0.3;14.7;0.045;50;136;0.99704;3.14;0.37;10.6;6;
7.2;0.31;0.35;7.2;0.046;45;178;0.9955;3.14;0.53;9.7;5;
6.4;0.28;0.44;7.1;0.048;49;179;0.99528;3.15;0.48;9.2;5;
7.2;0.24;0.28;1.9;0.032;30;92;0.9914;3.1;0.39;10.9;6;
6.2;0.27;0.47;1.2;0.146;28;105;0.99224;3.23;0.51;10.1;5;
6.5;0.28;0.25;4.8;0.029;54;128;0.99074;3.17;0.44;12.2;7;
7.2;0.27;0.31;1.2;0.031;27;80;0.98892;3.03;0.33;12.7;6;
7.8;0.28;0.25;3.4;0.024;27;99;0.98959;2.98;0.37;13;6;
8.1;0.26;0.27;4.3;0.03;43;123;0.99212;3.16;0.33;11.2;6;
6.6;0.23;0.37;8.5;0.036;46;153;0.99576;3.2;0.48;9.4;6;
6;0.33;0.2;1.8;0.031;49;159;0.9919;3.41;0.53;11;6;
6;0.33;0.2;1.8;0.031;49;159;0.9919;3.41;0.53;11;6;
7.3;0.2;0.29;19.5;0.039;69;237;100.037;3.1;0.48;9.2;6;
6.6;0.23;0.37;8.5;0.036;46;153;0.99576;3.2;0.48;9.4;6;
7.3;0.2;0.29;19.9;0.039;69;237;100.037;3.1;0.48;9.2;6;
6.2;0.47;0.19;8.3;0.029;24;142;0.992;3.22;0.45;12.3;6;
6;0.33;0.2;1.8;0.031;49;159;0.9919;3.41;0.53;11;6;
7.2;0.14;0.32;1.1;0.022;48;116;0.99218;3.04;0.67;10;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
8.1;0.2;0.28;0.9;0.023;49;87;0.99062;2.92;0.36;11.1;6;
5.8;0.14;0.15;6.1;0.042;27;123;0.99362;3.06;0.6;9.9;6;
4.8;0.21;0.21;10.2;0.037;17;112;0.99324;3.66;0.48;12.2;7;
8.1;0.2;0.28;0.9;0.023;49;87;0.99062;2.92;0.36;11.1;6;
5.7;0.22;0.22;16.65;0.044;39;110;0.99855;3.24;0.48;9;6;
7.5;0.34;0.24;3.85;0.031;5;34;0.99098;3.01;0.36;11.8;4;
6.6;0.64;0.28;4.4;0.032;19;78;0.99036;3.11;0.62;12.9;6;
7;0.48;0.12;4.5;0.05;23;86;0.99398;2.86;0.35;9;5;
7.6;0.37;0.34;3.2;0.028;42;162;0.9903;3.01;0.33;12.4;6;
7;0.48;0.12;4.5;0.05;23;86;0.99398;2.86;0.35;9;5;
6.6;0.64;0.28;4.4;0.032;19;78;0.99036;3.11;0.62;12.9;6;
8;0.25;0.27;9.7;0.036;15;85;0.99406;2.99;0.36;11.2;6;
7.6;0.38;0.28;4.2;0.029;7;112;0.9906;3;0.41;12.6;6;
6.9;0.26;0.27;4.2;0.031;20;80;0.99089;3.12;0.39;11.5;6;
7.8;0.15;0.34;1.1;0.035;31;93;0.99096;3.07;0.72;11.3;7;
8;0.25;0.27;9.7;0.036;15;85;0.99406;2.99;0.36;11.2;6;
6.9;0.26;0.27;4.2;0.031;20;80;0.99089;3.12;0.39;11.5;6;
5.9;0.655;0;5.6;0.033;8;31;0.9936;3.32;0.51;10.5;4;
7.6;0.38;0.28;4.2;0.029;7;112;0.9906;3;0.41;12.6;6;
7.8;0.31;0.4;1.6;0.027;20;87;0.9911;3.15;0.48;11.9;6;
8.1;0.17;0.21;1.6;0.036;24;119;0.99396;3.18;0.52;10.1;6;
6.8;0.18;0.28;1.1;0.027;32;112;0.99089;3.15;0.45;11;7;
7.4;0.28;0.36;14.6;0.048;35;161;0.9968;3.14;0.56;10.6;5;
7.3;0.23;0.27;2.6;0.035;39;120;0.99138;3.04;0.59;11.3;7;
6.7;0.22;0.22;1.2;0.038;5;124;0.99098;3.1;0.37;11.2;4;
7.4;0.25;0.28;7.25;0.028;14;78;0.99238;2.94;0.37;11.5;7;
7.5;0.3;0.21;6.55;0.026;33;143;0.99244;2.92;0.35;11.1;5;
7.2;0.26;0.24;7;0.023;19;130;0.99176;3.14;0.49;12.8;7;
6.3;0.32;0.32;1.5;0.037;12;76;0.98993;3.3;0.46;12.3;6;
7.7;0.24;0.3;1.4;0.041;15;102;0.9929;3.26;0.53;10.4;6;
7.4;0.25;0.28;7.25;0.028;14;78;0.99238;2.94;0.37;11.5;7;
7;0.24;0.35;1;0.032;42;104;0.98988;3.16;0.37;11.7;7;
5.8;0.28;0.28;4.2;0.044;52;158;0.992;3.35;0.44;10.7;7;
6.8;0.19;0.71;17.5;0.042;21;114;0.99784;2.85;0.5;9.5;6;
6.8;0.19;0.71;17.5;0.042;21;114;0.99784;2.85;0.5;9.5;6;
6.8;0.19;0.71;17.5;0.042;21;114;0.99784;2.85;0.5;9.5;6;
6.6;0.19;0.35;1.5;0.037;37;107;0.99006;3.18;0.68;12;7;
6.4;0.28;0.36;1.3;0.053;28;186;0.99211;3.31;0.45;10.8;5;
5.6;0.28;0.27;3.9;0.043;52;158;0.99202;3.35;0.44;10.7;7;
5.6;0.28;0.28;4.2;0.044;52;158;0.992;3.35;0.44;10.7;7;
6.8;0.19;0.32;7.6;0.049;37;107;0.99332;3.12;0.44;10.7;7;
7.2;0.16;0.29;1;0.031;40;123;0.98958;3.12;0.4;12.1;7;
6.6;0.17;0.28;1.1;0.034;55;108;0.98939;3;0.52;11.9;7;
6.6;0.19;0.28;11.8;0.042;54;137;0.99492;3.18;0.37;10.8;6;
5.8;0.2;0.24;1.4;0.033;65;169;0.99043;3.59;0.56;12.3;7;
6.6;0.39;0.38;9.7;0.053;49;226;0.99787;3.3;0.57;9.4;6;
6.8;0.12;0.3;12.9;0.049;32;88;0.99654;3.2;0.35;9.9;6;
6.6;0.295;0.24;1.6;0.039;29;140;0.99304;3.35;0.61;10.4;7;
6.6;0.26;0.24;7.2;0.038;28;137;0.9952;3.35;0.6;10.4;6;
7;0.32;0.27;7.1;0.027;37;122;0.99165;3.15;0.6;12.6;7;
7.4;0.36;0.23;1.9;0.017;31;69;0.9892;2.93;0.36;12.5;6;
6.7;0.35;0.48;8.8;0.056;35;167;0.99628;3.04;0.47;9.4;5;
6.4;0.38;0.24;7.2;0.047;41;151;0.99604;3.11;0.6;9.2;5;
6.8;0.14;0.18;1.4;0.047;30;90;0.99164;3.27;0.54;11.2;6;
7;0.16;0.25;14.3;0.044;27;149;0.998;2.91;0.46;9.2;6;
7;0.16;0.25;14.3;0.044;27;149;0.998;2.91;0.46;9.2;6;
6.7;0.35;0.48;8.8;0.056;35;167;0.99628;3.04;0.47;9.4;5;
6.8;0.14;0.18;1.4;0.047;30;90;0.99164;3.27;0.54;11.2;6;
6.8;0.16;0.18;1.8;0.046;31;114;0.99226;3.27;0.55;10.8;6;
7;0.16;0.25;14.3;0.044;27;149;0.998;2.91;0.46;9.2;6;
6.4;0.38;0.24;7.2;0.047;41;151;0.99604;3.11;0.6;9.2;5;
7.2;0.24;0.3;1.2;0.037;11;95;0.98914;2.96;0.36;12.5;6;
7.7;0.32;0.61;11.8;0.041;66;188;0.99794;3;0.54;9.3;5;
7;0.29;0.33;0.9;0.041;20;117;0.99048;3.21;0.5;11.4;5;
7.1;0.27;0.24;12.6;0.044;48;118;0.99726;3.04;0.56;10;7;
6.8;0.45;0.28;26.05;0.031;27;122;100.295;3.06;0.42;10.6;6;
6.3;0.2;0.26;4.7;0.04;108;168;0.99278;3.07;0.75;10.7;7;
7.1;0.27;0.24;12.6;0.044;48;118;0.99726;3.04;0.56;10;7;
7.2;0.24;0.3;1.2;0.037;11;95;0.98914;2.96;0.36;12.5;6;
6.8;0.45;0.28;26.05;0.031;27;122;100.295;3.06;0.42;10.6;6;
6.6;0.36;0.28;6.1;0.029;12;93;0.99054;3.19;0.27;12.8;7;
7.7;0.32;0.61;11.8;0.041;66;188;0.99794;3;0.54;9.3;5;
7;0.29;0.33;0.9;0.041;20;117;0.99048;3.21;0.5;11.4;5;
6.4;0.37;0.2;5.6;0.117;61;183;0.99459;3.24;0.43;9.5;5;
6.4;0.38;0.2;5.3;0.117;57;181;0.99459;3.24;0.43;9.5;6;
6.4;0.36;0.2;5.7;0.118;61;172;0.9946;3.24;0.43;9.5;6;
6.6;0.3;0.25;8;0.036;21;124;0.99362;3.06;0.38;10.8;6;
6.6;0.3;0.25;8;0.036;21;124;0.99362;3.06;0.38;10.8;6;
6.5;0.21;0.51;17.6;0.045;34;125;0.99966;3.2;0.47;8.8;6;
6.6;0.3;0.25;8;0.036;21;124;0.99362;3.06;0.38;10.8;6;
7.6;0.31;0.27;8.8;0.021;57;156;0.99442;3.08;0.38;11;7;
5.8;0.58;0;1.5;0.02;33;96;0.98918;3.29;0.38;12.4;6;
6.5;0.26;0.39;1.4;0.02;12;66;0.99089;3.25;0.75;11.3;7;
8.7;0.3;0.34;4.8;0.018;23;127;0.99474;3.12;0.49;11.2;7;
6.4;0.29;0.32;2.4;0.014;34;89;0.99008;3.24;0.66;12.5;7;
6.7;0.13;0.32;3.7;0.017;32;99;0.99348;3.12;0.44;10;6;
6.8;0.19;0.33;4.9;0.047;42;130;0.99283;3.12;0.56;11;6;
6;0.25;0.4;5.7;0.052;56;152;0.99398;3.16;0.88;10.5;6;
6;0.25;0.4;5.7;0.052;56;152;0.99398;3.16;0.88;10.5;6;
6.8;0.19;0.33;4.9;0.047;42;130;0.99283;3.12;0.56;11;6;
6.4;0.24;0.23;2;0.046;30;133;0.9908;3.12;0.54;11.4;7;
5.9;0.18;0.28;5.1;0.039;50;139;0.99165;3.16;0.44;11.3;6;
7.2;0.33;0.22;4.5;0.031;10;73;0.99076;2.97;0.52;12.2;7;
6.4;0.29;0.24;3.2;0.037;31;95;0.98942;2.9;0.66;12.6;7;
7.3;0.31;0.25;6.65;0.032;30;138;0.99244;2.9;0.37;11.1;5;
7;0.29;0.37;1.6;0.035;34;126;0.99058;3.26;0.47;12.3;6;
6.9;0.19;0.6;4;0.037;6;122;0.99255;2.92;0.59;10.4;4;
6.3;0.32;0.17;17.75;0.06;51;190;0.99916;3.13;0.48;8.8;6;
6.6;0.085;0.33;1.4;0.036;17;109;0.99306;3.27;0.61;9.5;6;
6.3;0.32;0.17;17.75;0.06;51;190;0.99916;3.13;0.48;8.8;6;
6.8;0.18;0.32;7.2;0.047;17;109;0.99498;3.42;0.44;10.4;6;
6.8;0.52;0.26;5.7;0.038;27;130;0.99;3.11;0.27;13;7;
7.1;0.28;0.28;8.5;0.03;25;191;0.99338;3.16;0.46;12.2;7;
5.7;0.15;0.47;11.4;0.035;49;128;0.99456;3.03;0.34;10.5;8;
5.8;0.275;0.3;5.4;0.043;41;149;0.9926;3.33;0.42;10.8;7;
5.4;0.53;0.16;2.7;0.036;34;128;0.98856;3.2;0.53;13.2;8;
5.8;0.32;0.28;4.3;0.032;46;115;0.98946;3.16;0.57;13;8;
6.7;0.22;0.39;1.2;0.049;26;152;0.99346;3.5;0.47;10;6;
6.1;0.6;0.12;1.8;0.05;11;76;0.99268;3.42;0.48;10.4;4;
6.5;0.26;0.31;1.3;0.034;59;145;0.98944;3.16;0.54;12.4;6;
5;0.29;0.54;5.7;0.035;54;155;0.98976;3.27;0.34;12.9;8;
5.4;0.53;0.16;2.7;0.036;34;128;0.98856;3.2;0.53;13.2;8;
6.8;0.21;0.26;11.7;0.038;61;152;0.99523;3.02;0.56;10.5;7;
5.8;0.32;0.28;4.3;0.032;46;115;0.98946;3.16;0.57;13;8;
6.5;0.27;0.26;11;0.03;2;82;0.99402;3.07;0.36;11.2;5;
5.9;0.37;0.32;1.6;0.029;41;102;0.98916;3.41;0.55;12.7;7;
6.2;0.21;0.18;11.6;0.044;61;155;0.99655;3.14;0.52;9.4;6;
6.8;0.3;0.29;6.2;0.025;29;95;0.99071;3.03;0.32;12.9;7;
7.3;0.41;0.29;1.8;0.032;26;74;0.98889;2.96;0.35;13;8;
5.4;0.3;0.3;1.2;0.029;25;93;0.98742;3.31;0.4;13.6;7;
6.6;0.34;0.2;1;0.053;26;112;0.99336;3.32;0.55;9.1;5;
5.6;0.25;0.19;2.4;0.049;42;166;0.992;3.25;0.43;10.4;6;
5.3;0.3;0.3;1.2;0.029;25;93;0.98742;3.31;0.4;13.6;7;
6.9;0.58;0.58;8.2;0.032;29;169;0.99275;3.28;0.44;12.2;6;
7.2;0.23;0.25;18.8;0.085;19;111;100.044;3.1;0.51;8.7;5;
7.1;0.2;0.27;9.6;0.037;19;105;0.99444;3.04;0.37;10.5;7;
6.8;0.15;0.41;12.9;0.044;79.5;183;0.99742;3.24;0.78;10.2;6;
7;0.22;0.26;9.2;0.027;37;122;0.99228;3.06;0.34;12.5;8;
6.4;0.16;0.44;1.2;0.051;39;122;0.99058;3.11;0.75;11.3;7;
6.8;0.15;0.41;12.9;0.044;79.5;183;0.99742;3.24;0.78;10.2;6;
6.8;0.31;0.3;8;0.028;33;122;0.99164;3.13;0.63;12.6;7;
6.8;0.15;0.41;12.9;0.044;79.5;183;0.99742;3.24;0.78;10.2;6;
7.6;0.3;0.37;1.6;0.087;27;177;0.99438;3.09;0.5;9.8;5;
6;0.16;0.27;12;0.03;39;98;0.99402;3.15;0.34;10.8;5;
7.1;0.21;0.35;2.5;0.04;41;186;0.99128;3.32;0.56;12.5;6;
7;0.22;0.26;9.2;0.027;37;122;0.99228;3.06;0.34;12.5;8;
5.6;0.21;0.24;4.4;0.027;37;150;0.991;3.3;0.31;11.5;7;
7.4;0.22;0.26;8.8;0.027;23;112;0.9931;2.98;0.41;11.4;6;
7.1;0.2;0.27;9.6;0.037;19;105;0.99444;3.04;0.37;10.5;7;
6.8;0.31;0.3;8;0.028;33;122;0.99164;3.13;0.63;12.6;7;
7.2;0.23;0.25;18.8;0.085;19;111;100.044;3.1;0.51;8.7;5;
6.4;0.15;0.4;1.3;0.053;61;146;0.99112;3.17;0.68;11;6;
6.4;0.16;0.44;1.2;0.051;39;122;0.99058;3.11;0.75;11.3;7;
6.8;0.15;0.41;12.9;0.044;79.5;182;0.99742;3.24;0.78;10.2;6;
6.3;0.22;0.34;1.2;0.036;32;96;0.98961;3.06;0.74;11.6;6;
7.6;0.3;0.37;1.6;0.087;27;177;0.99438;3.09;0.5;9.8;5;
7;0.3;0.27;1.5;0.076;24;145;0.99344;3.1;0.52;10.1;5;
6.6;0.26;0.22;18.15;0.05;23;139;0.99904;3.06;0.5;9.2;5;
7.5;0.24;0.31;13.1;0.05;26;180;0.99884;3.05;0.53;9.1;6;
7.5;0.24;0.31;13.1;0.05;26;180;0.99884;3.05;0.53;9.1;6;
7.5;0.24;0.31;13.1;0.05;26;180;0.99884;3.05;0.53;9.1;6;
7.5;0.24;0.31;13.1;0.05;26;180;0.99884;3.05;0.53;9.1;6;
6.6;0.15;0.34;1;0.037;45;79;0.98949;2.96;0.5;11.7;6;
6.7;0.34;0.43;1.6;0.041;29;114;0.99014;3.23;0.44;12.6;6;
7.7;0.35;0.46;11.8;0.088;61;183;0.99786;2.86;0.47;9;5;
6.7;0.31;0.09;1.4;0.039;53;141;0.99206;3.12;0.44;10.1;5;
4.7;0.67;0.09;1;0.02;5;9;0.98722;3.3;0.34;13.6;5;
7.5;0.24;0.31;13.1;0.05;26;180;0.99884;3.05;0.53;9.1;6;
6.3;0.2;0.18;10.6;0.045;57;159;0.99666;3.09;0.54;9.2;5;
6.6;0.28;0.23;10.4;0.049;45;190;0.99754;3.12;0.51;8.8;5;
8.5;0.18;0.3;1.1;0.028;34;95;0.99272;2.83;0.36;10;4;
6.5;0.35;0.38;7.4;0.036;20;196;0.99712;3.47;0.48;9.1;6;
6.8;0.22;0.26;1.2;0.041;29;182;0.99104;3.04;0.35;11.2;5;
6.3;0.18;0.24;3.4;0.053;20;119;0.99373;3.11;0.52;9.2;6;
6.6;0.26;0.22;18.15;0.05;23;139;0.99904;3.06;0.5;9.2;5;
6.6;0.3;0.45;8;0.038;54;200;0.9956;3.18;0.48;9.5;5;
6.3;0.34;0.27;2.5;0.024;40;152;0.99095;3.35;0.6;11.9;7;
7.7;0.3;0.23;2;0.068;28;138;0.99382;3.11;0.62;9.8;5;
7.7;0.31;0.23;2;0.069;29;134;0.99382;3.11;0.62;9.8;5;
5.7;0.265;0.28;6.9;0.036;46;150;0.99299;3.36;0.44;10.8;7;
5.4;0.255;0.33;1.2;0.051;29;122;0.99048;3.37;0.66;11.3;6;
6.6;0.26;0.28;9.4;0.028;13;121;0.99254;3.17;0.34;12.1;6;
4.8;0.17;0.28;2.9;0.03;22;111;0.9902;3.38;0.34;11.3;7;
5.7;0.265;0.28;6.9;0.036;46;150;0.99299;3.36;0.44;10.8;7;
6.2;0.2;0.33;5.4;0.028;21;75;0.99012;3.36;0.41;13.5;7;
7.5;0.28;0.41;1.3;0.044;11;126;0.99293;3.28;0.45;10.3;5;
6.2;0.22;0.2;20.8;0.035;58;184;100.022;3.11;0.53;9;6;
7;0.34;0.26;10.3;0.041;51;166;0.99382;3.08;0.35;11.6;6;
7.5;0.28;0.41;1.3;0.044;11;126;0.99293;3.28;0.45;10.3;5;
6.5;0.19;0.34;1.6;0.029;39;116;0.98954;3.21;0.68;12.5;6;
6;0.21;0.29;13.1;0.042;28;125;0.99936;3.39;0.45;8.6;5;
6.1;0.22;0.46;1.8;0.16;34;74;0.9884;3.19;0.33;13.4;6;
6.5;0.32;0.48;8;0.026;18;88;0.99144;3.22;0.79;12.7;4;
7.1;0.21;0.72;1.6;0.167;65;120;0.99324;2.97;0.51;9.2;5;
5.6;0.26;0.18;1.4;0.034;18;135;0.99174;3.32;0.35;10.2;6;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
7.4;0.27;0.28;1.8;0.04;45;121;0.99043;3.02;0.4;11.9;5;
6.8;0.22;0.3;10.6;0.07;67;194;0.99654;2.89;0.42;9;6;
6.2;0.24;0.25;12.5;0.055;47;134;0.99758;3.3;0.51;9;5;
6.3;0.28;0.29;6.8;0.051;40;143;0.99374;3.43;0.59;11;6;
7;0.15;0.28;14.7;0.051;29;149;0.99792;2.96;0.39;9;7;
5.5;0.17;0.23;2.9;0.039;10;108;0.99243;3.28;0.5;10;5;
6.5;0.26;0.34;1.4;0.04;25;184;0.99216;3.29;0.46;10.7;5;
6.6;0.27;0.33;1.4;0.042;24;183;0.99215;3.29;0.46;10.7;5;
5.4;0.46;0.15;2.1;0.026;29;130;0.98953;3.39;0.77;13.4;8;
7.8;0.19;0.32;7.4;0.015;47;124;0.99278;2.99;0.39;11;6;
5.5;0.17;0.23;2.9;0.039;10;108;0.99243;3.28;0.5;10;5;
6.5;0.26;0.34;1.4;0.04;25;184;0.99216;3.29;0.46;10.7;5;
6.6;0.27;0.33;1.4;0.042;24;183;0.99215;3.29;0.46;10.7;5;
7.8;0.19;0.32;7.4;0.015;47;124;0.99278;2.99;0.39;11;6;
7.8;0.2;0.32;5;0.016;31;101;0.99186;2.99;0.39;11;6;
6.1;0.17;0.28;2.5;0.028;22;98;0.99072;3.16;0.37;11.1;7;
7.4;0.2;0.35;6.1;0.025;10;40;0.99244;2.79;0.52;10.9;5;
6.7;0.39;0.24;2.7;0.017;22;80;0.99084;3.03;0.37;11.5;5;
5.4;0.46;0.15;2.1;0.026;29;130;0.98953;3.39;0.77;13.4;8;
6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5;
6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5;
6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5;
6.3;0.24;0.29;13.7;0.035;53;134;0.99567;3.17;0.38;10.6;6;
6.9;0.4;0.17;12.9;0.033;59;186;0.99754;3.08;0.49;9.4;5;
7.4;0.27;0.31;2.4;0.014;15;143;0.99094;3.03;0.65;12;4;
6.1;0.27;0.28;9.8;0.042;61;125;0.99532;3.14;0.42;10.2;6;
6.3;0.24;0.29;13.7;0.035;53;134;0.99567;3.17;0.38;10.6;6;
5;0.61;0.12;1.3;0.009;65;100;0.9874;3.26;0.37;13.5;5;
6.7;0.42;0.39;12.1;0.04;61;248;0.99794;3.31;0.58;9.7;5;
6.5;0.33;0.28;6.1;0.018;41;103;0.99122;3.24;0.32;12.2;6;
6.9;0.33;0.31;7.7;0.04;29;135;0.99226;3.11;0.57;12.3;5;
6.5;0.33;0.28;6.1;0.018;41;103;0.99122;3.24;0.32;12.2;6;
6.3;0.15;0.3;1.4;0.022;38;100;0.99099;3.42;0.57;11.4;7;
6.5;0.32;0.45;7.7;0.022;31;97;0.99134;3.2;0.7;12.7;7;
6.7;0.42;0.39;12.1;0.04;61;248;0.99794;3.31;0.58;9.7;5;
7.4;0.25;0.29;6.8;0.02;31;113;0.99338;3.13;0.29;10.8;6;
7.6;0.27;0.3;9.2;0.018;23;96;0.9938;3.08;0.29;11;6;
6.4;0.27;0.45;8.3;0.05;52;196;0.9955;3.18;0.48;9.5;5;
6.5;0.25;0.27;17.4;0.064;29;140;0.99776;3.2;0.49;10.1;6;
5.6;0.19;0.31;2.7;0.027;11;100;0.98964;3.46;0.4;13.2;7;
7.4;0.29;0.48;12.8;0.037;61.5;182;0.99808;3.02;0.34;8.8;5;
6.4;0.34;0.44;8.2;0.043;54;201;0.99551;3.18;0.48;9.5;5;
6.6;0.27;0.52;8.1;0.044;53;202;0.99548;3.18;0.48;9.5;5;
6.6;0.26;0.52;8.2;0.047;52;191;0.99541;3.16;0.47;9.5;6;
6.4;0.27;0.45;8.3;0.05;52;196;0.9955;3.18;0.48;9.5;5;
6.5;0.26;0.5;8;0.051;46;197;0.99536;3.18;0.47;9.5;5;
6.8;0.25;0.3;11.8;0.043;53;133;0.99524;3.03;0.58;10.4;6;
